"Cell1","Cell2","Cell3","Cell4","Cell5","Cell6","Cell7","Cell8","Cell9","Cell10","Cell11","Cell12","Cell13","Cell14","Cell15","Cell16","Cell17","Cell18","Cell19","Cell20","Cell21","Cell22","Cell23","Cell24","Cell25","Cell26","Cell27","Cell28","Cell29","Cell30","Cell31","Cell32","Cell33","Cell34","Cell35","Cell36","Cell37","Cell38","Cell39","Cell40","Cell41","Cell42","Cell43","Cell44","Cell45","Cell46","Cell47","Cell48","Cell49","Cell50","Cell51","Cell52","Cell53","Cell54","Cell55","Cell56","Cell57","Cell58","Cell59","Cell60","Cell61","Cell62","Cell63","Cell64","Cell65","Cell66","Cell67","Cell68","Cell69","Cell70","Cell71","Cell72","Cell73","Cell74","Cell75","Cell76","Cell77","Cell78","Cell79","Cell80","Cell81","Cell82","Cell83","Cell84","Cell85","Cell86","Cell87","Cell88","Cell89","Cell90","Cell91","Cell92","Cell93","Cell94","Cell95","Cell96","Cell97","Cell98","Cell99","Cell100","Cell101","Cell102","Cell103","Cell104","Cell105","Cell106","Cell107","Cell108","Cell109","Cell110","Cell111","Cell112","Cell113","Cell114","Cell115","Cell116","Cell117","Cell118","Cell119","Cell120","Cell121","Cell122","Cell123","Cell124","Cell125","Cell126","Cell127","Cell128","Cell129","Cell130","Cell131","Cell132","Cell133","Cell134","Cell135","Cell136","Cell137","Cell138","Cell139","Cell140","Cell141","Cell142","Cell143","Cell144","Cell145","Cell146","Cell147","Cell148","Cell149","Cell150","Cell151","Cell152","Cell153","Cell154","Cell155","Cell156","Cell157","Cell158","Cell159","Cell160","Cell161","Cell162","Cell163","Cell164","Cell165","Cell166","Cell167","Cell168","Cell169","Cell170","Cell171","Cell172","Cell173","Cell174","Cell175","Cell176","Cell177","Cell178","Cell179","Cell180","Cell181","Cell182","Cell183","Cell184","Cell185","Cell186","Cell187","Cell188","Cell189","Cell190","Cell191","Cell192","Cell193","Cell194","Cell195","Cell196","Cell197","Cell198","Cell199","Cell200"
"Gene1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,287.091642044571,0,202.65067077372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,172.057811424639,0,0,0,207.296849087894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84.0618695359785,0,0,0,0,0,0,0,0,0,0,0,0,0,41.9903422212891,0,0,88.1927540833245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147.92899408284,0,0,0,0,0,0,0,253.88535262862,0,0,0,0
"Gene2",0,0,0,289.312785696376,0,0,0,0,0,0,0,195.02508731805,184.388444990781,231.943818052961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138.929624426915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,278.967819069443,0,0,0,0,119.116946370904,0,231.689304642474,0,0,0,0,173.023685019994,0,201.148091414071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,236.301100112899,0,0,0,0,0,0,0,0,0,0,0,0,279.240465932663,0,0,0,0,0,0,0,69.9471898716469,0,0,0,0,0,0,0,0,0,0,152.958657460012,0,0,0,0,0,0,0,0,0,0,0,0,183.21058224323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151.105906352115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gene3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gene4",0,0,0,0,0,559.334168605692,0,0,0,576.993688038746,0,0,0,0,0,492.694267810128,381.300999008617,0,0,0,0,932.698443866281,0,671.616053438856,830.867750172253,0,0,0,445.256842894638,0,0,0,555.579298260609,750.356419299167,0,0,0,780.403208324301,679.690411980092,0,0,703.374669337452,0,701.742660941338,481.429562607083,0,0,0,0,0,1046.50041997714,0,0,0,701.466461961989,0,0,0,0,0,0,653.645032297755,0,572.498414024664,0,0,964.056046712898,800.165195395178,0,0,0,0,710.575735530479,0,0,0,1047.50963033047,0,0,0,0,0,0,749.906261717285,0,800.798172604826,0,0,0,0,613.964517085151,800.42689434365,0,0,380.967930663837,0,916.455881813849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,251.489592199954,0,0,0,0,0,0,0,0,0,339.789330615019,0,0,0,0,0,0,0,605.245460659045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,354.792357772614,0,0,415.164426963837,539.168332846584,0,1115.57340473003,0,0,559.967420077377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,341.560485906917,297.333905976412,0,0,0,0,0,394.105926915245,0
"Gene5",0,0,0,250.737747603526,0,0,294.245400664154,0,0,0,0,372.320621243551,384.142593730793,0,0,230.950438035997,152.520399603447,0,0,0,422.202578074492,0,0,0,0,434.333298386976,375.121914622252,0,0,0,0,216.112749108535,0,0,0,0,0,520.268805549534,0,0,0,0,0,0,269.034167339252,0,671.817265703729,291.027618520998,0,0,0,0,282.150282150282,0,0,0,0,0,0,0,358.300099700897,0,0,263.03981184917,0,0,0,0,171.53026437102,343.91206856231,0,0,0,0,530.774726957232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,434.135450260481,0,0,0,0,0,0,103.080638510927,570.351241306104,0,351.936577324171,613.996764709355,0,0,0,0,0,0,0,0,0,0,0,669.879911771914,389.201980259676,0,0,0,0,427.491358567538,0,0,0,0,0,0,0,0,0,252.185608607935,0,359.948064636388,0,501.734568078213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,359.445555231056,0,0,0,0,0,0,0,0,0,351.699882766706,0,0,0,361.059710249583,0,0,0,408.835809061288,0,586.135931435121,378.040762656147,0,0,0,0,0,320.102432778489,0,0,0,0,0,0
"Gene6",0,620.584303990834,331.86613568085,0,0,0,0,298.42827773725,0,0,0,0,0,0,499.553429509984,0,0,0,0,0,0,441.804526041922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,737.047474528506,0,0,0,0,0,0,0,0,657.212542536256,0,0,0,0,0,0,0,0,0,0,520.203797487722,621.890547263682,0,0,0,0,0,0,0,0,0,0,550.259309699696,0,525.590579143998,0,0,0,439.585642750659,0,0,1023.68697927034,0,0,0,618.662481892805,729.075532225139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,528.262017960909,0,0,361.206429474445,0,0,933.823071655357,0,0,780.46769158273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,386.464644168362,0,0,0,0,454.959053685168,0,0,0,0,0,0,0,0,0,0,805.035128805621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,391.909860732032,0,0,0,0,646.627053477805,0,0,0,0,377.237489861742,568.11974216104,0,0,0,0,0,0,0,325.238508239376,0,0,904.371127114386,0,0,0,0,0,0,0,0,870.270141389094,0,0,0,0,0,0,0,462.37018068004,0,0,0,0,0,0
"Gene7",0,0,0,983.663471367678,901.189570232707,0,1064.88811668932,806.861639808122,0,0,0,868.748116234952,0,0,0,0,940.542464221256,0,0,900.037175448551,0,752.704007330683,0,0,0,0,0,1246.18813042458,0,0,0,0,0,0,0,953.02386530596,774.479563086702,0,1129.16310377338,0,0,1039.77125032493,0,0,0,619.530705490591,0,0,665.728306767604,0,798.645057350977,0,0,0,0,1095.48223127821,0,1331.10971710093,0,1452.21354728321,0,0,967.152001125413,0,0,1407.53131247195,0,0,0,784.119516322067,0,1335.28417404151,693.657265636896,0,0,0,979.928363857539,0,1137.42997696704,0,0,0,0,562.429696287964,0,0,0,697.508680950431,0,0,868.018800016937,833.778014941302,0,0,0,0,0,0,0,723.91461720569,731.324007655562,0,0,0,0,1136.15140384735,0,683.443151549138,1001.35477410614,0,1286.47287458258,1148.42462074203,0,806.162665711215,0,0,0,786.644524080063,1055.55095620498,1648.14968519155,0,0,889.886249322913,681.996430885345,0,0,1083.38693841622,0,0,1601.52693526979,0,0,0,1619.06060399482,0,1505.99344689338,0,0,0,640.368852459016,924.680564895763,0,0,1464.30566248509,0,0,0,0,0,0,0,0,0,0,993.771432570509,0,0,0,0,0,1247.53611617056,0,975.678983874687,0,0,0,0,0,0,961.650058859616,0,0,0,0,0,0,0,1171.83338659849,0,0,857.516811842758,0,0,1341.06491887502,0,1156.38635225674,1354.62526376117,0,0,1039.09377395452,0,0,0,818.039550433917,1014.07634546201,1160.61875487369,1236.87703632195,865.324103209566,678.737985242922,0
"Gene8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75.0243829244504,0,0,70.2790076604118,0,0,0,0,0,0,0,0,98.6647372229165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.3130608175474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134.760799580744,0,0,0,150.673321405029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.6911535827679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153.571075984775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134.948719486595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gene9",251.695633743112,0,0,0,0,0,0,0,0,157.361914919658,0,0,0,0,0,0,0,94.2507068803016,181.854252083058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,187.286376476831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,210.290200476658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,226.014238897051,0,0,0,0,248.249838637605,0,0,0,135.855208537745,217.43463371324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130.09540329575,0,0,0,0,0,0,169.246739179492,0,0,0,0,0,0,131.492439184747,0,0,0,0,0,0,0,0,0,0,0,0
"Gene10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
