"Cell1","Cell2","Cell3","Cell4","Cell5","Cell6","Cell7","Cell8","Cell9","Cell10","Cell11","Cell12","Cell13","Cell14","Cell15","Cell16","Cell17","Cell18","Cell19","Cell20","Cell21","Cell22","Cell23","Cell24","Cell25","Cell26","Cell27","Cell28","Cell29","Cell30","Cell31","Cell32","Cell33","Cell34","Cell35","Cell36","Cell37","Cell38","Cell39","Cell40","Cell41","Cell42","Cell43","Cell44","Cell45","Cell46","Cell47","Cell48","Cell49","Cell50","Cell51","Cell52","Cell53","Cell54","Cell55","Cell56","Cell57","Cell58","Cell59","Cell60","Cell61","Cell62","Cell63","Cell64","Cell65","Cell66","Cell67","Cell68","Cell69","Cell70","Cell71","Cell72","Cell73","Cell74","Cell75","Cell76","Cell77","Cell78","Cell79","Cell80","Cell81","Cell82","Cell83","Cell84","Cell85","Cell86","Cell87","Cell88","Cell89","Cell90","Cell91","Cell92","Cell93","Cell94","Cell95","Cell96","Cell97","Cell98","Cell99","Cell100","Cell101","Cell102","Cell103","Cell104","Cell105","Cell106","Cell107","Cell108","Cell109","Cell110","Cell111","Cell112","Cell113","Cell114","Cell115","Cell116","Cell117","Cell118","Cell119","Cell120","Cell121","Cell122","Cell123","Cell124","Cell125","Cell126","Cell127","Cell128","Cell129","Cell130","Cell131","Cell132","Cell133","Cell134","Cell135","Cell136","Cell137","Cell138","Cell139","Cell140","Cell141","Cell142","Cell143","Cell144","Cell145","Cell146","Cell147","Cell148","Cell149","Cell150","Cell151","Cell152","Cell153","Cell154","Cell155","Cell156","Cell157","Cell158","Cell159","Cell160","Cell161","Cell162","Cell163","Cell164","Cell165","Cell166","Cell167","Cell168","Cell169","Cell170","Cell171","Cell172","Cell173","Cell174","Cell175","Cell176","Cell177","Cell178","Cell179","Cell180","Cell181","Cell182","Cell183","Cell184","Cell185","Cell186","Cell187","Cell188","Cell189","Cell190","Cell191","Cell192","Cell193","Cell194","Cell195","Cell196","Cell197","Cell198","Cell199","Cell200"
"Gene1",0,0,0,0,0,190.173617325935,0,0,0,0,0,0,0,0,227.069740686356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,172.057811424639,0,0,0,0,0,0,0,0,0,43.4461484989356,0,0,0,0,0,0,0,0,0,0,0,0,0,170.614496545056,0,0,0,0,0,0,0,426.985482493595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,237.635808864766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,332.470077693008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,312.605830098731,0,0,0,0,0,0,0,265.591423811478,0,0,0,0,0
"Gene2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117.288294628196,0,0,0,0,0,0,64.983169359136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138.938509785241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141.258899310657,0,0,0,0,0,0,130.281034803648,0,0,0,0,0,0,0,0,0,0,0,0,0,212.875414663568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gene3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gene4",0,0,0,0,0,0,0,0,0,576.993688038746,0,886.477669627502,0,0,0,0,0,0,0,0,0,932.698443866281,0,0,0,778.804535038716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1193.21323593609,0,0,0,1077.20532543383,0,0,0,0,0,0,0,0,0,0,861.64451009355,0,0,0,0,0,0,0,0,0,0,0,836.990915586404,0,0,793.934341629947,867.29035743737,0,0,0,0,749.906261717285,0,0,0,0,0,0,0,0,0,0,0,965.872504829363,0,0,558.480931865326,0,0,0,0,0,0,0,349.735949358235,315.435300714987,0,0,0,0,0,0,0,358.093695994021,262.549884478051,0,0,0,0,0,0,0,0,0,423.198022818837,0,0,0,0,374.709600059954,0,0,0,0,550.347288116294,0,0,0,0,0,0,0,0,0,0,0,595.570444816676,0,0,0,0,0,0,546.804988076613,0,0,0,611.674239776302,0,0,0,0,0,415.164426963837,539.168332846584,0,1115.57340473003,0,0,0,0,0,0,0,0,0,0,0,0,539.79487794638,0,0,0,0,494.959230989658,0,437.958084835057,0,0,0,0,0,0,0,0,0,0,0
"Gene5",0,0,0,0,0,0,0,0,678.413612277453,0,262.817402555394,0,384.142593730793,0,0,0,0,0,0,0,0,163.631305941453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,427.299069289215,0,0,0,0,0,0,0,0,0,671.817265703729,0,0,0,289.164589730526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,540.65013178347,0,0,0,0,320.7732774475,0,0,0,0,0,0,0,0,486.937375619257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,234.528909596923,0,0,0,0,0,0,0,367.466927976482,0,0,0,0,0,0,0,303.639883098645,0,0,0,0,386.107658115795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,552.870467799754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,368.603642671292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gene6",0,620.584303990834,0,289.312785696376,0,0,406.338886631451,0,0,716.870945745109,0,0,0,0,0,0,0,0,0,860.905124342092,0,0,0,0,445.831475702185,0,0,0,304.649418822647,0,0,756.394621879872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,608.850608850609,0,0,0,0,0,0,0,545.239282153539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,192.25365651666,0,0,0,0,0,0,0,556.350341758067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,802.530330925742,0,0,0,0,0,0,0,0,0,0,0,931.035650201442,0,0,427.8051402433,0,0,641.824291161702,0,0,0,0,0,0,0,0,725.12901646137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,802.55390487061,0,0,0,0,0,0,0,0,0,381.910902432997,0,0,0,0,0,0,0,0,0,904.371127114386,0,0,0,665.703840772668,0,0,0,0,0,0,0,0,0,0,490.065044996881,0,0,0,0,0,0,0,0
"Gene7",0,0,628.79899392161,0,0,0,0,806.861639808122,0,0,0,868.748116234952,0,0,0,0,0,0,0,0,0,0,861.274926133713,0,729.542414785393,0,0,0,0,0,941.439519865845,0,0,0,0,0,0,0,1129.16310377338,0,0,0,0,0,0,0,0,887.634236489043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,820.11387867001,0,1218.9384543005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1231.91861389286,0,723.91461720569,731.324007655562,0,1340.26596199728,0,0,0,1014.23425313888,0,0,0,0,0,0,0,1369.02232922627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1601.52693526979,0,0,0,0,0,0,0,0,0,0,924.680564895763,0,0,0,0,0,0,1208.26709062003,0,0,0,1685.11841127761,0,0,0,0,0,0,0,0,0,1305.99229973371,0,0,1867.32557481563,0,0,0,0,0,1473.46348927489,1001.15387225955,0,0,0,0,1222.57578295093,0,0,0,857.516811842758,1184.549871049,1172.85603192208,0,0,0,1354.62526376117,0,0,0,0,1692.95197362559,0,0,0,0,0,0,0,1015.87058192134
"Gene8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.7788183720235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gene9",0,0,0,0,180.237914046541,0,0,0,0,0,0,159.56598053295,0,0,0,354.124004988529,165.230432903734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,185.239499235887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,187.286376476831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,183.784919134636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,241.950493206775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gene10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
