"Cell1","Cell2","Cell3","Cell4","Cell5","Cell6","Cell7","Cell8","Cell9","Cell10","Cell11","Cell12","Cell13","Cell14","Cell15","Cell16","Cell17","Cell18","Cell19","Cell20","Cell21","Cell22","Cell23","Cell24","Cell25","Cell26","Cell27","Cell28","Cell29","Cell30","Cell31","Cell32","Cell33","Cell34","Cell35","Cell36","Cell37","Cell38","Cell39","Cell40","Cell41","Cell42","Cell43","Cell44","Cell45","Cell46","Cell47","Cell48","Cell49","Cell50","Cell51","Cell52","Cell53","Cell54","Cell55","Cell56","Cell57","Cell58","Cell59","Cell60","Cell61","Cell62","Cell63","Cell64","Cell65","Cell66","Cell67","Cell68","Cell69","Cell70","Cell71","Cell72","Cell73","Cell74","Cell75","Cell76","Cell77","Cell78","Cell79","Cell80","Cell81","Cell82","Cell83","Cell84","Cell85","Cell86","Cell87","Cell88","Cell89","Cell90","Cell91","Cell92","Cell93","Cell94","Cell95","Cell96","Cell97","Cell98","Cell99","Cell100","Cell101","Cell102","Cell103","Cell104","Cell105","Cell106","Cell107","Cell108","Cell109","Cell110","Cell111","Cell112","Cell113","Cell114","Cell115","Cell116","Cell117","Cell118","Cell119","Cell120","Cell121","Cell122","Cell123","Cell124","Cell125","Cell126","Cell127","Cell128","Cell129","Cell130","Cell131","Cell132","Cell133","Cell134","Cell135","Cell136","Cell137","Cell138","Cell139","Cell140","Cell141","Cell142","Cell143","Cell144","Cell145","Cell146","Cell147","Cell148","Cell149","Cell150","Cell151","Cell152","Cell153","Cell154","Cell155","Cell156","Cell157","Cell158","Cell159","Cell160","Cell161","Cell162","Cell163","Cell164","Cell165","Cell166","Cell167","Cell168","Cell169","Cell170","Cell171","Cell172","Cell173","Cell174","Cell175","Cell176","Cell177","Cell178","Cell179","Cell180","Cell181","Cell182","Cell183","Cell184","Cell185","Cell186","Cell187","Cell188","Cell189","Cell190","Cell191","Cell192","Cell193","Cell194","Cell195","Cell196","Cell197","Cell198","Cell199","Cell200"
"Gene1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gene2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.7434020880319,0,0,0,0,264.570262302517,0,104.902899253878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.8156112324721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.798132772241,0,0,0,0,0,0,15.8237863155896,0,0,70.3445122487382,0
"Gene3",336.272058716026,0,0,0,0,0,158.097767659521,0,0,0,0,215.308429325008,194.969779684149,0,0,0,306.096420372417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,253.767470914344,0,0,265.268226987981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,251.930230145675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,189.994592461599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108.25049163765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111.555266338198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,186.05982539001,0,0,0,0,0,0,0,0,0
"Gene4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74.9232037161909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gene5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74.6792526100399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gene6",0,0,0,313.36735607485,0,0,0,317.444813440125,0,0,0,0,177.245254258317,0,0,0,0,0,0,0,0,0,0,0,0,0,356.782750329636,0,0,0,0,0,0,279.082748034792,0,0,0,0,0,0,0,393.720163393868,0,0,0,0,195.22353094293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,197.355437142293,0,0,0,0,0,0,0,0,0,0,0,0,0,428.513273198637,597.409130926927,0,0,0,0,0,0,0,0,0,0,398.198495084308,0,0,0,0,528.057452650848,0,0,0,0,322.496119968557,0,0,0,270.626229094124,0,0,0,0,0,0,0,0,0,0,0,0,0,144.024772260829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,410.214336991078,0,0,0,0,0,0,0,0,0,0,824.314216367217,281.387946043861,0,0,0,0,0,260.255701226455,0,0,0,0,0,0,0,0,0,0,0,272.437144858722,0,0,0,0,0,411.418444205329,447.660971424308,0,0,0
"Gene7",0,0,367.192068651317,0,0,0,0,0,0,0,0,592.098180643772,0,0,0,284.58138078886,0,0,0,0,0,261.913198884558,0,0,188.28845791753,0,0,0,0,0,0,0,348.979235735474,0,0,0,0,0,659.833721902081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,188.315051080458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,248.825543434987,0,0,0,0,0,0,0,0,0,0,0,0,256.281958970479,280.216700915375,0,433.320622595071,0,0,756.848556449826,0,0,0,0,551.200391964723,0,0,247.530879477215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,421.624660357912,0,0,0,0,357.835097659162,0,0,472.849009854173,0,494.502777457267,293.892905425263,0,0,0,0,0,0,0,0,0,0,0,346.655791190865,0,0,0,0,0,0,0,441.80516392271,0,0,0,0,0,0,0,0,0,388.390122940412,306.83172640051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gene8",0,0,679.985312317254,0,0,0,0,0,0,561.24383769435,0,681.810026195859,0,0,0,0,0,342.298288508557,0,0,0,0,552.626469314295,0,0,0,0,0,0,0,871.827120969586,0,0,0,0,0,0,336.753694386118,0,0,0,0,0,730.088119938197,0,0,0,0,482.04656794054,1078.33905409921,800.177817292732,0,0,0,0,0,0,643.714439968437,0,0,0,0,0,0,0,0,0,0,0,610.622170894561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,467.98783231636,0,0,0,0,0,0,0,0,0,0,856.841550224097,0,0,0,325.645544402728,514.215927838365,770.343353037354,0,0,0,0,0,1049.53564149815,0,663.845324039499,415.987797691268,514.963655449702,0,0,0,0,0,539.792062709756,0,0,0,408.425951137404,302.340112470522,0,0,0,0,0,0,0,340.382078883547,0,0,0,0,670.994885930869,0,0,0,0,0,0,0,0,0,0,694.098383996583,0,0,0,0,573.616151035627,0,450.635788318737,0,0,0,0,0,0,533.826826577458,0,0,0,0,0,0,0,0,0,839.579294448091,0,0,662.707745884065,695.074623983936,0,0,0,0,0,529.380624669137,0,461.116988092332,0,0,638.175668489013,609.057909226009,0,415.779460494652,0,0,0,0,0,0,0,0,564.957243008654,1002.40929954452,0
"Gene9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,188.315051080458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170.225643547502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gene10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,227.665104631088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,329.91686095104,0,0,0,0,0,0,0,0,0,403.573870833941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83.711029526076,0,0,0,0,287.769784172662,0,0,0,0,0,0,0,0,0,376.60350712016,292.691085465797,0,0,0,538.630926920457,0,0,0,0,0,0,0,0,0,247.726742830497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,229.413704601179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,315.485848206238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,286.808075517813,0,0,0,91.2131346913956,0,0,0,0,118.62818368388,0,0,0,0,0,0,0,0,183.937040978545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,429.008430948295,0,0,0
