"Cell1","Cell2","Cell3","Cell4","Cell5","Cell6","Cell7","Cell8","Cell9","Cell10","Cell11","Cell12","Cell13","Cell14","Cell15","Cell16","Cell17","Cell18","Cell19","Cell20","Cell21","Cell22","Cell23","Cell24","Cell25","Cell26","Cell27","Cell28","Cell29","Cell30","Cell31","Cell32","Cell33","Cell34","Cell35","Cell36","Cell37","Cell38","Cell39","Cell40","Cell41","Cell42","Cell43","Cell44","Cell45","Cell46","Cell47","Cell48","Cell49","Cell50","Cell51","Cell52","Cell53","Cell54","Cell55","Cell56","Cell57","Cell58","Cell59","Cell60","Cell61","Cell62","Cell63","Cell64","Cell65","Cell66","Cell67","Cell68","Cell69","Cell70","Cell71","Cell72","Cell73","Cell74","Cell75","Cell76","Cell77","Cell78","Cell79","Cell80","Cell81","Cell82","Cell83","Cell84","Cell85","Cell86","Cell87","Cell88","Cell89","Cell90","Cell91","Cell92","Cell93","Cell94","Cell95","Cell96","Cell97","Cell98","Cell99","Cell100","Cell101","Cell102","Cell103","Cell104","Cell105","Cell106","Cell107","Cell108","Cell109","Cell110","Cell111","Cell112","Cell113","Cell114","Cell115","Cell116","Cell117","Cell118","Cell119","Cell120","Cell121","Cell122","Cell123","Cell124","Cell125","Cell126","Cell127","Cell128","Cell129","Cell130","Cell131","Cell132","Cell133","Cell134","Cell135","Cell136","Cell137","Cell138","Cell139","Cell140","Cell141","Cell142","Cell143","Cell144","Cell145","Cell146","Cell147","Cell148","Cell149","Cell150","Cell151","Cell152","Cell153","Cell154","Cell155","Cell156","Cell157","Cell158","Cell159","Cell160","Cell161","Cell162","Cell163","Cell164","Cell165","Cell166","Cell167","Cell168","Cell169","Cell170","Cell171","Cell172","Cell173","Cell174","Cell175","Cell176","Cell177","Cell178","Cell179","Cell180","Cell181","Cell182","Cell183","Cell184","Cell185","Cell186","Cell187","Cell188","Cell189","Cell190","Cell191","Cell192","Cell193","Cell194","Cell195","Cell196","Cell197","Cell198","Cell199","Cell200"
"Gene1",0,0,0,0,0,0,42.9282811516227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.2388872089507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.5685137191987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gene2",0,219.194712349093,0,0,0,160.854828517263,0,0,0,0,190.222560395663,0,269.594627714328,0,0,0,0,0,305.946061709321,0,0,0,0,0,0,331.995727359335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,313.34047053294,119.007949731042,0,0,0,0,0,0,303.766707168894,0,0,400.585202730946,0,0,0,0,0,0,218.730213549761,260.980365065475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250.584697627798,0,0,199.00233496073,0,0,0,0,0,0,406.779661016949,211.518123257379,256.283522800081,0,155.028077307335,200.549196260529,0,0,0,0,148.007449708302,287.338628573774,230.630852257876,0,0,0,0,0,0,0,0,0,0,0,0,0,183.358392313616,0,0,0,0,0,0,0,0,214.408233276158,0,0,0,0,0,0,206.858143050362,0,248.159483828274,0,0,0,0,0,0,263.051396195872,337.36825769537,0,286.258176249159,67.2305065146361,0,0,0,0,205.143507207997,0,0,0,0,0,0,0,0,0,0,0,0,0,69.0540969795738,0,0,0,0,175.763773488432,129.620028146063,0,0,585.846750570695,442.618887433165,0,0,171.210457937619,0,0,0,0,0,0,277.093596059113,0,0,0,0,0,0,0,0,0,0,0,0,323.960088117144,0,0,0,124.545064555858,0,0
"Gene3",76.5037773740078,0,0,0,0,0,0,0,0,0,114.133536237398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138.02834181952,0,0,0,0,94.7651719040218,0,0,0,0,0,0,0,0,199.547691898364,0,0,0,0,0,0,0,0,0,0,0,0,149.657514534047,0,0,0,0,0,10.8519897123138,0,0,0,0,148.231283153515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103.352051538223,0,0,0,84.5987902372996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,330.045106164509,0,166.333998669328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,194.652368565412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,179.259657614054,0,237.990626830697,0,0,0,0,0,0,52.9380624669137,0,0,0,0,0,0,106.94186372933,0,0,0,0,0,0,168.555350984104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152.221745568271,0,0
"Gene4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.4933837703089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gene5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.6342231631125,0,12.7106795129268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86.81591769851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.653312788906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.4727643398671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110.612477087415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96.8785723973571,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gene6",0,0,0,0,0,0,901.493904184077,0,0,0,0,0,0,0,704.796137717165,784.542684595596,303.696160923236,0,0,0,0,394.03106490073,0,0,0,0,239.525056031754,0,301.522689582391,0,380.347604636933,449.969064626807,0,0,0,247.229901332794,0,0,0,0,436.702411567762,0,0,365.684195129087,0,0,0,529.240539825351,0,560.800074773343,0,0,400.585202730946,345.563573533896,0,0,206.882283980415,0,0,0,0,0,0,0,0,0,0,0,0,497.2570658625,497.633593443942,0,238.80240593424,0,0,0,0,421.804023361454,0,0,0,657.534246575342,0,0,0,0,0,0,0,0,0,0,0,0,0,246.822164630384,0,0,292.132412859976,0,0,0,0,404.858299595142,0,0,177.171457678168,232.406804871247,0,0,0,0,0,0,0,0,0,0,385.670209118958,0,0,0,0,0,0,0,0,0,0,428.258731719697,0,0,0,508.484425848443,0,0,0,202.347227842979,0,0,243.319449811785,0,0,0,373.268633436871,0,466.235243654538,0,190.245589761328,0,0,0,0,0,0,0,0,0,295.25570698202,0,0,0,158.122210899891,0,389.054597328492,351.527546976863,0,0,0,0,177.047554973266,250.937093207447,0,352.492119283333,0,200.515994492494,0,347.967291074639,0,0,0,0,414.905479345487,0,0,0,0,333.402792248385,0,626.216698204392,0,0,0,0,312.049927988478,238.648296051166,0,0,285.87764436821,0
"Gene7",0,0,203.603787030439,0,0,0,643.92421727434,382.19516523116,0,0,513.60091306829,494.071146245059,747.512376844272,0,299.538358529795,0,0,0,0,344.22815442075,609.688504600377,394.03106490073,0,0,240.872647190393,591.818470510119,479.050112063508,0,0,0,0,131.240977182819,582.786332126863,0,0,292.180792484211,0,0,555.747192518493,0,0,0,0,0,0,0,565.385127045364,496.163006086266,0,0,0,0,522.502438344712,0,0,786.1797869039,0,578.584893335075,628.352146495815,0,0,0,0,0,0,0,0,0,0,465.175964839113,508.221542240622,0,0,0,777.717489600289,804.656736860127,0,0,0,0,0,0,0,0,0,289.223859267073,0,0,0,0,327.281496537706,0,377.913915188161,637.700875775869,0,0,653.699569545,0,1168.52965143991,0,0,0,0,0,0,0,0,588.763905673825,0,0,456.380551167281,0,605.082694634933,0,0,0,0,0,0,0,0,0,135.608981189097,0,0,0,444.04973357016,0,0,0,0,0,228.532251614009,0,0,0,0,0,0,267.205531154495,0,0,0,143.828720540796,333.275565568635,0,0,209.456982772163,0,0,0,553.062385437077,351.053159478435,0,0,0,0,346.714503218415,0,161.333691852649,345.270484897869,0,0,263.731382646475,0,0,0,0,0,0,0,0,0,372.634526099524,0,0,0,0,0,0,0,185.477139942502,0,0,0,0,0,0,0,176.974284275154,436.086127010085,234.049524879465,0,0,0,0,0,207.575107593097,0,0
"Gene8",0,0,0,0,0,0,200.331978707573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127.98946829518,0,136.830994174909,0,0,132.884479092842,0,0,0,0,0,0,0,0,0,0,0,260.980365065475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97.3393900064893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.8966618834644,0,0,0,0,0,0,0,0,0,0,158.915139315605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,230.043708304578,0,0,0,0,0,0,0,0,41.0939201545131,0,76.9033581133043,0,0,51.8851608439986,0,0,79.0089122052968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.3893811369332,0,0,0,0,0,0,0,0,0,0,0,15.603301658631,0,0,0,0,0,0,0,0
"Gene9",0,252.916975787415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,246.032722352073,0,0,0,0,0,0,0,158.780565258812,325.069718900238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,248.061205838577,309.420669300709,201.126307320998,0,0,188.461709015121,66.1550674781688,0,0,0,0,0,182.945421282651,0,0,151.713674918971,261.296403441647,0,0,0,0,0,0,0,119.371886835451,0,0,151.158884783339,0,0,0,104.47605259623,0,0,0,0,0,0,0,0,0,210.206325593429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,182.565038795071,0,0,0,0,0,0,0,309.875739828329,204.83058803448,0,0,0,0,0,0,0,123.600663912138,0,0,207.605273173939,0,0,0,0,0,0,0,0,0,380.674428195286,0,0,0,0,0,0,208.382948321029,0,188.926224309407,0,0,0,0,0,0,0,0,0,0,0,245.700245700246,0,0,0,0,0,82.4334350012365,0,0,0,317.648846106039,0,0,0,0,223.699348076186,0,432.647586908084,211.752249867655,0,0,0,97.7096849839756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,299.494942619492,0,0,0,0,144.02304368699,175.008750437522,0,0,0,0
"Gene10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128.693917603719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
