"Cell1","Cell2","Cell3","Cell4","Cell5","Cell6","Cell7","Cell8","Cell9","Cell10","Cell11","Cell12","Cell13","Cell14","Cell15","Cell16","Cell17","Cell18","Cell19","Cell20","Cell21","Cell22","Cell23","Cell24","Cell25","Cell26","Cell27","Cell28","Cell29","Cell30","Cell31","Cell32","Cell33","Cell34","Cell35","Cell36","Cell37","Cell38","Cell39","Cell40","Cell41","Cell42","Cell43","Cell44","Cell45","Cell46","Cell47","Cell48","Cell49","Cell50","Cell51","Cell52","Cell53","Cell54","Cell55","Cell56","Cell57","Cell58","Cell59","Cell60","Cell61","Cell62","Cell63","Cell64","Cell65","Cell66","Cell67","Cell68","Cell69","Cell70","Cell71","Cell72","Cell73","Cell74","Cell75","Cell76","Cell77","Cell78","Cell79","Cell80","Cell81","Cell82","Cell83","Cell84","Cell85","Cell86","Cell87","Cell88","Cell89","Cell90","Cell91","Cell92","Cell93","Cell94","Cell95","Cell96","Cell97","Cell98","Cell99","Cell100","Cell101","Cell102","Cell103","Cell104","Cell105","Cell106","Cell107","Cell108","Cell109","Cell110","Cell111","Cell112","Cell113","Cell114","Cell115","Cell116","Cell117","Cell118","Cell119","Cell120","Cell121","Cell122","Cell123","Cell124","Cell125","Cell126","Cell127","Cell128","Cell129","Cell130","Cell131","Cell132","Cell133","Cell134","Cell135","Cell136","Cell137","Cell138","Cell139","Cell140","Cell141","Cell142","Cell143","Cell144","Cell145","Cell146","Cell147","Cell148","Cell149","Cell150","Cell151","Cell152","Cell153","Cell154","Cell155","Cell156","Cell157","Cell158","Cell159","Cell160","Cell161","Cell162","Cell163","Cell164","Cell165","Cell166","Cell167","Cell168","Cell169","Cell170","Cell171","Cell172","Cell173","Cell174","Cell175","Cell176","Cell177","Cell178","Cell179","Cell180","Cell181","Cell182","Cell183","Cell184","Cell185","Cell186","Cell187","Cell188","Cell189","Cell190","Cell191","Cell192","Cell193","Cell194","Cell195","Cell196","Cell197","Cell198","Cell199","Cell200"
"Gene1",0,1083.35204978135,874.501820684118,0,0,0,0,0,0,727.584549222394,0,0,0,0,0,0,0,0,0,0,0,0,550.602486181995,0,0,0,940.75079149706,0,0,0,0,0,0,0,0,0,1037.8425267593,294.699616890498,0,0,0,0,582.787632186831,1076.55828404786,717.887973581723,0,0,0,0,0,0,0,0,729.342447730458,0,707.053189076695,0,0,893.818062421335,0,0,938.076416337286,0,0,618.744313011829,728.779103218135,0,0,861.041197509604,0,0,0,492.653043739022,1178.80045265937,0,0,0,0,766.742876261641,0,0,0,0,890.286143530819,0,0,0,0,0,674.721150399561,0,0,803.051596065047,0,0,0,0,0,0,580.458852723078,0,0,0,0,1443.97532685637,0,1932.7520323404,1344.10464616792,0,0,1194.26751592357,0,0,0,1138.19056155477,0,0,1313.56499106046,0,0,0,0,0,0,0,0,0,0,690.389774341171,0,0,0,0,0,0,0,0,0,1098.14934831137,0,0,0,0,0,1361.51596991273,1329.50941102733,0,0,1213.18607764391,1224.38858063916,0,0,0,0,1343.23255018805,0,0,1686.4083517366,1392.01813928792,0,1471.60471805391,0,982.304869230664,0,1057.44923417544,1094.37642214758,0,0,0,1874.32179145704,0,0,0,0,0,0,1271.51156417845,0,886.917960088692,0,1414.86420556188,0,1359.67532601306,0,0,0,0,1055.61786633239,0,0,0,862.366333218351,0,0,0,0,1049.51817574659,0,0,0
"Gene2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120.028206628558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gene3",12556.878931795,10397.5373558283,9261.11764199903,8567.70962054932,9035.27165481853,0,13312.3803330805,13516.8774270636,0,10303.1169202385,9848.76581365641,10928.6927412804,10949.299343042,11221.9859316211,10450.5393465049,11355.0340651022,9042.23412054831,11496.6839393894,13857.0851293103,12771.6624329664,0,10110.0876207594,10101.4379195697,10034.0605725858,11363.952873019,10241.3476929771,11108.0958842153,9408.08565333192,12053.6484388477,10791.6110495238,12098.6802601152,0,12004.5203522463,11834.2218627758,11501.0534214552,9553.10630535932,12082.3458339142,10630.236180693,10812.0710507526,11354.9252587198,8969.93012483316,12123.2474183528,11729.9256151059,11147.1478019133,11216.9995872144,11309.8758131283,12094.9529083092,10366.4793974919,0,11971.4159422425,11873.9680792515,7525.16913365577,11120.2862647949,13228.2698853073,11393.8180838369,10125.5352926266,11445.2828826227,10563.5628369971,10561.6460845297,10988.8323552839,8732.25815627044,14429.512516469,0,0,10864.4222020018,0,0,10332.7735700332,11541.2637435422,0,9072.53536941388,0,10345.7139185195,13674.0852508487,9816.83028050468,7890.01984508034,10405.3104634542,11040.2042118698,7806.83655830034,13229.1939160656,0,13083.5052334021,10101.8736197193,11518.07698193,0,12784.4178840195,9818.96287204664,10724.4909031721,10667.1230141753,0,8973.80228687219,11568.498089817,11315.727035462,12017.8241886843,12432.534961116,11627.756914063,10288.1536819637,9137.86253476361,0,9969.38079551886,11100.9403345261,0,11405.1414097594,11924.9144189896,13953.1963649491,12984.8125442839,9206.3913601558,11639.6691008356,8384.27002758695,0,0,8867.22309817593,12680.0809620193,12189.7730180197,0,10178.8844696613,9216.90448556018,9705.78576728007,14254.9923195084,11666.2631642658,11705.8180608576,9306.05832934909,11284.1493994985,8944.35027229776,0,9775.05594158521,9511.82322046615,10159.0186278964,8777.81284519489,10764.4465707549,0,0,12048.1927710843,12358.3358186698,9937.02153335596,12608.7688766631,12158.0164956749,11944.5034058237,11143.5155181105,8087.93306903913,9460.0106680054,12045.1094467098,0,10216.7525234518,12856.2819454054,9629.4467341551,0,11687.2078198045,0,10399.5536406187,12669.2271597643,11496.9080958135,7783.67531879086,9100.35927270075,9964.34328139501,12741.8807287541,14616.4840400191,12146.1553904838,11824.9788327139,11275.1028308735,13289.0365448505,0,0,12981.4656613305,11103.2169588421,10033.5897713728,15214.5643693108,0,0,11127.5525303344,0,10522.7993986972,12185.0116644495,11258.311505138,8460.96052707623,11576.0477470978,10676.3126164639,10581.3019019555,13034.5264491606,0,12522.3613595707,0,9970.95239076245,10241.7660868491,8983.72724456512,12260.5061893874,11082.6181892043,10308.7682259022,9569.65820975941,0,13963.7870076069,13567.8969759687,0,12548.5804624201,0,0,12117.1643927106,11293.763332915,11428.4790585649,0
"Gene4",0,0,0,0,767.145706541196,842.952509143316,0,771.681768395898,1252.27686703097,0,0,0,0,867.004743988222,0,0,0,0,0,0,698.839662447257,0,614.133542279918,1012.61161741692,0,0,0,887.805265877801,0,0,0,0,0,1287.40488883754,0,1174.81566214775,0,0,0,798.517950683531,0,0,0,1008.42168379167,0,0,0,695.73687231489,0,0,605.393505778756,0,0,0,0,787.096946330661,0,0,0,0,1308.41653155844,0,0,0,0,0,706.85650812885,0,0,0,0,657.936966429168,0,0,966.682778046301,0,0,0,1031.61768806112,0,0,0,0,904.196864523488,0,0,0,0,684.52126294173,0,911.854103343465,0,876.056286616415,0,0,0,0,893.921334922527,0,0,0,995.431679613204,0,0,0,0,708.183950781215,0,0,802.26384269794,995.222929936306,0,1235.26610310751,0,0,0,0,0,706.605222734255,877.617721825445,0,648.862782596817,0,0,0,0,0,0,0,0,854.778575975266,774.488090547169,0,0,0,0,716.656608328304,0,0,0,0,0,809.580030359251,0,0,0,733.961444555953,1398.92336024933,0,0,1303.41843207452,1279.40862890042,0,0,0,0,0,943.58562537643,574.02809867543,0,0,0,0,0,0,0,881.375523768242,0,0,0,0,0,848.323596892051,919.302841023574,0,0,0,0,1251.18783655369,668.701347690408,0,0,0,0,1166.24451045064,0,0,0,866.774427811746,0,0,589.28366103254,949.129709290755,1235.09650220671,1163.53579980439,0,1172.18913135333,808.689226307497,0,1143.89946051228
"Gene5",0,0,0,0,0,0,0,0,0,0,185.43701322784,0,0,81.7929003762473,0,0,0,0,0,0,0,0,0,0,0,248.651840800659,0,0,0,0,0,0,0,0,0,185.497209812802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87.6718734018148,0,0,0,0,0,0,0,0,0,0,0,208.417619870781,0,0,0,222.762945954282,0,0,0,0,0,0,0,0,0,0,0,0,217.682336166832,0,99.736410914013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,490.094437428135,0,0,0,0,0,0,0,0,0,0,242.031125202701,0,0,0,0,0,0,0,0,0,0,250.85386797368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,244.224100034191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,229.553354758313,0,0,0,0,0,0,0,439.325086835349,0,0,0,0,0,149.557869548148,0,373.692077727952,0,0,0,0,0,0,0,0
"Gene6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,112.13025049898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92.400946185689,0,0,0,0,0,0,0,0,0,133.406262089942,0,0,0,0,0,0,0,0,0,38.3567949062176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153.609831029186,0,0,0,0,0,0,50.4736107138651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,267.564494191621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gene7",0,0,57.3443816842045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110.071546505228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.6761872946941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101.049795093471,0,0,0,0,0,0,0,0,0,0,0,0,188.253012048193,0,0,0,0,0,0,0,0,0,301.364751804601,0,0,0,0,0,198.271731407894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137.169507218545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,307.130271729467,0
"Gene8",671.35788348211,0,473.091148894687,0,0,0,0,0,0,0,0,553.818888916238,0,0,0,0,0,634.508180623329,0,370.448772226926,0,1053.13412716244,0,0,0,0,814.111261872456,0,0,497.726295785163,0,0,0,0,0,0,0,0,641.147070395034,0,0,0,0,0,0,0,685.882530070094,0,0,0,770.500825536599,979.002586320265,513.808606294155,0,0,1053.90947051055,0,0,0,487.670074938635,0,832.674571805007,0,0,0,517.816731233938,0,0,0,0,0,529.559021760062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,379.788042102217,755.825561164827,0,694.745983499783,0,0,0,258.651906264549,683.985700827236,526.503023834934,0,0,711.06209458577,0,0,713.695965518689,0,0,0,0,0,0,0,0,1330.80672925316,0,456.888044153661,0,0,751.007032156756,0,1167.43471582181,0,0,0,0,0,814.332247557003,0,629.280925527023,0,0,0,1145.7670273711,0,977.388493130087,0,0,763.487340706226,0,0,0,676.204240198353,0,0,0,0,0,0,0,1009.34976625584,0,0,0,0,0,0,0,543.170759307457,800.381133873273,0,516.625288807887,0,0,0,0,0,908.745435619516,0,0,0,742.7523617204,0,0,0,0,0,0,0,0,0,0,0,764.351927142625,0,0,0,0,808.168414412994,0,0,0,0,999.96428698975,0,0,0,0,0,0,989.947156341936,0,1066.60895642361
"Gene9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.5584845674924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153.678027457141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77.185805530363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,306.916584456867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gene10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.6222201501236,0,0,0,0,0,101.025407890084,0,0,72.1521544633323,0,0,168.399781080285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.6953839875693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104.851634936565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148.703798555921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.0845985883309,0,0,0,0,0,0,0,0,0,40.8903185355814,0,0,0
