"Cell1","Cell2","Cell3","Cell4","Cell5","Cell6","Cell7","Cell8","Cell9","Cell10","Cell11","Cell12","Cell13","Cell14","Cell15","Cell16","Cell17","Cell18","Cell19","Cell20","Cell21","Cell22","Cell23","Cell24","Cell25","Cell26","Cell27","Cell28","Cell29","Cell30","Cell31","Cell32","Cell33","Cell34","Cell35","Cell36","Cell37","Cell38","Cell39","Cell40","Cell41","Cell42","Cell43","Cell44","Cell45","Cell46","Cell47","Cell48","Cell49","Cell50","Cell51","Cell52","Cell53","Cell54","Cell55","Cell56","Cell57","Cell58","Cell59","Cell60","Cell61","Cell62","Cell63","Cell64","Cell65","Cell66","Cell67","Cell68","Cell69","Cell70","Cell71","Cell72","Cell73","Cell74","Cell75","Cell76","Cell77","Cell78","Cell79","Cell80","Cell81","Cell82","Cell83","Cell84","Cell85","Cell86","Cell87","Cell88","Cell89","Cell90","Cell91","Cell92","Cell93","Cell94","Cell95","Cell96","Cell97","Cell98","Cell99","Cell100","Cell101","Cell102","Cell103","Cell104","Cell105","Cell106","Cell107","Cell108","Cell109","Cell110","Cell111","Cell112","Cell113","Cell114","Cell115","Cell116","Cell117","Cell118","Cell119","Cell120","Cell121","Cell122","Cell123","Cell124","Cell125","Cell126","Cell127","Cell128","Cell129","Cell130","Cell131","Cell132","Cell133","Cell134","Cell135","Cell136","Cell137","Cell138","Cell139","Cell140","Cell141","Cell142","Cell143","Cell144","Cell145","Cell146","Cell147","Cell148","Cell149","Cell150","Cell151","Cell152","Cell153","Cell154","Cell155","Cell156","Cell157","Cell158","Cell159","Cell160","Cell161","Cell162","Cell163","Cell164","Cell165","Cell166","Cell167","Cell168","Cell169","Cell170","Cell171","Cell172","Cell173","Cell174","Cell175","Cell176","Cell177","Cell178","Cell179","Cell180","Cell181","Cell182","Cell183","Cell184","Cell185","Cell186","Cell187","Cell188","Cell189","Cell190","Cell191","Cell192","Cell193","Cell194","Cell195","Cell196","Cell197","Cell198","Cell199","Cell200"
"Gene1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gene2",1197.959032759,0,0,1508.83870857123,1285.96158601929,0,0,0,0,0,0,0,0,0,0,1062.94843136948,1512.73885350318,0,954.704571974117,936.097048428694,0,0,0,1613.27907935541,0,0,0,0,0,0,1401.63435855394,0,1458.83416548522,0,1320.19338043882,0,1645.21288750095,1498.10124377243,0,0,1390.68784511555,1036.67228197486,1492.4762839385,948.76660341556,971.965466638715,0,0,1084.36347863804,0,0,1036.60787821987,0,0,0,0,0,1163.38683598217,0,0,1256.51160964373,1409.14103663767,0,1020.63279233125,0,0,0,1181.04171302398,0,0,0,1197.08979335673,1267.06005864678,0,1354.096140826,1069.2103461118,0,0,0,0,0,786.944996686547,0,1780.71350298308,1418.69937302641,1478.69645456734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1421.85025489267,0,2115.92411202511,1305.78249898537,0,0,1331.6242081814,0,1097.48602534461,1171.49018876967,1254.40247020794,0,0,676.493626717938,1148.00225098481,0,0,0,0,0,1177.74070075572,0,844.440065866325,0,0,0,1135.10007412898,0,0,0,1238.58182381174,1546.8550764021,0,1765.04870535343,0,0,1127.57173090934,751.427712654043,1087.1731685662,0,0,0,0,0,0,0,1135.99036461185,1556.98046240646,0,0,0,0,1180.30687978875,0,0,0,0,1105.59472652176,0,897.229234465768,0,0,0,1093.66058370954,1390.18273020423,0,1524.56534224403,0,0,1181.65954464887,0,0,1301.71317423506,0,0,769.598216655167,0,1229.60898434298,937.578406644922,1163.98358585859,0,1280.38664069826,0,0,0,0,0,0,980.206159489028,2075.17488368979,1225.32930725132,0,0,1358.5895654075,1383.83378829239,1220.64352326547,0,1533.74233128834,0,0,0
"Gene3",0,1129.63406702495,0,0,1533.261891023,0,0,0,0,0,803.523139921193,1125.02374238417,0,569.563744958591,0,1547.52786331734,0,0,0,1012.51313401471,766.820030672801,0,1136.68982145933,645.311631742162,0,0,944.248296247639,0,0,1172.86418765827,0,799.337691626938,0,0,0,0,0,1114.86604187716,0,0,0,0,0,0,0,1140.78396169958,1013.4065238045,0,1399.39485627837,0,553.804208911988,0,0,0,0,802.067551911594,1656.34735970343,698.838417225423,1414.79099678457,0,1501.04153902708,0,560.347415397546,0,0,0,616.195676360338,0,0,0,0,0,998.061457553598,703.088380813499,1081.22394550631,950.004025440786,0,1145.94061416615,0,0,0,0,669.670035309875,0,0,0,0,0,1011.37406836889,914.092547558683,0,0,0,0,0,0,0,883.788090021908,0,0,0,1022.30041367505,0,0,0,0,0,0,772.118533507282,0,0,1013.38365307335,0,776.589758019133,830.464819584527,0,1187.96640230231,0,946.267762234454,0,0,0,1350.49660666359,1120.68137427556,0,0,0,1112.63109895121,0,0,0,0,0,0,0,0,868.316467955783,1232.12959104169,1638.98994992976,0,0,0,0,0,0,0,0,0,0,1938.56696321231,0,0,0,757.970533895495,0,0,730.109725061538,0,0,0,0,0,0,501.612325331422,1047.04097116844,866.704954837362,0,0,0,0,732.769733896028,778.035460462333,0,0,0,0,0,1241.30098907919,1262.62626262626,0,0,0,0,0,454.941055463249,0,0,0,0,918.996980438493,0,0,0,0,0,0,1714.18260555756,0,0,0
"Gene4",0,0,0,428.647360389555,0,0,0,0,0,0,0,0,0,0,0,484.579431947853,0,0,0,0,0,0,0,0,0,314.332180782004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,274.861914609565,0,0,340.210930777082,0,0,0,0,0,0,543.16401801202,0,0,499.030728776799,0,0,0,0,0,439.323441899475,0,0,249.716987414264,0,0,0,429.168532616808,0,0,0,396.68167158207,0,469.302582840286,0,0,0,0,0,0,124.740124740125,0,0,0,0,0,0,0,0,0,0,562.872903298435,433.607951702745,0,0,0,421.250270803746,0,401.5661078205,0,0,0,0,0,683.795750209413,0,0,0,0,0,0,0,501.682727481762,398.667312128029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300.553017552296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,366.384866948014,0,589.919319857725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gene5",0,0,0,0,115.406809001731,0,0,0,0,0,0,0,0,0,0,0,0,148.898153662895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138.768430182134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gene6",8814.61214227612,11193.6466641564,0,10338.9743325961,9150.11128513725,11112.9231414393,0,10262.998354456,0,8525.98786686342,0,9745.33553467849,0,0,11152.9298021477,8019.00801900802,9355.09554140128,8933.88921977367,11020.3552443926,14270.7039831885,10218.7104087484,9956.83336048216,9931.68379355876,8747.55767472709,8371.14368854381,6942.64121031556,10427.7855324739,8857.83894544926,8271.09783420463,8529.92136478742,9189.961124481,10391.3899911502,8136.5961905936,12009.7672796133,0,11284.1594128926,9932.2111356539,11322.8582378149,0,9480.98528403397,8562.2741836526,0,13738.959764475,10199.2409867173,0,0,7304.97202575742,7853.88976670694,10457.6399394856,8929.59358900973,9996.87597625742,7749.90941664318,9718.88649684541,10421.6368247909,0,7723.61346285239,12521.19730252,11294.739824346,0,11805.9736656108,10614.5080259772,0,0,8476.0611502913,13293.6179601743,10893.5466078323,10954.5898019616,8627.61602326204,10442.3243712056,12895.7650728015,8123.93947142093,11385.4396698404,10863.5150956795,8775.58460496849,6919.8332512404,8485.62917639482,11383.4589170428,11488.4172964505,7268.8060387004,10049.2984452029,0,9539.18891922488,9451.47936198709,9427.48615623999,8344.89161957381,9143.15569487983,0,10095.7804814911,8573.3401795578,12417.8610234387,9964.68454710318,10777.1985987966,6910.15360695622,0,12242.3244653835,0,11464.3659141945,9796.35530770763,11912.6819126819,10426.9018692129,14436.7382667834,10555.8461319005,12740.2022198302,10739.4199086065,11419.8994593569,12395.305713539,10565.8733184467,9950.53996312447,13525.3867248862,0,11624.0285514159,12195.5481007793,14135.1563056327,12166.5728756331,13323.5442794213,12241.469816273,10992.8722015862,13121.1196688784,12254.1675209362,0,0,14848.0711581496,0,12663.6995293138,14052.4929470123,0,12454.4304739231,10889.1928864569,13621.0490436424,12489.0333901017,0,12344.4485576786,15552.410290567,11252.9440842081,11255.6227229244,11397.1481108837,12290.0177002972,12248.8176991792,12553.5823637477,0,14384.8686279855,12424.1354382072,12725.1693934887,11413.7807369061,12102.6653504442,11674.696156794,10647.7373558119,11736.7011604457,9158.8813626703,15328.2038951671,13445.8456973294,13523.5161141897,12789.1311360316,0,10476.7156248433,11017.3035704951,10659.6019858985,13797.3896830329,13306.3657653822,13449.1548162061,12112.234227954,10580.173595249,12806.0024162269,12153.3500537442,11456.7526555387,9888.79026784316,14316.4051921792,13565.420333544,0,13371.9444681032,13759.787225381,8214.25899603501,13498.7420838032,11040.0027600007,12738.17737912,0,13017.4604475777,13218.5350007263,13277.3042929293,14020.5144679777,12010.3873620428,12103.4989514704,12369.9933613631,10095.3585676754,12619.6692776327,0,0,0,0,13828.7164675507,14403.1129308592,13460.7428634855,10868.71652326,0,14240.8411047638,10697.3653182413,10591.844099603,0,12290.3487149432,12580.2159962435
"Gene7",0,0,0,0,0,0,0,0,0,0,525.380514563857,0,0,0,0,0,0,0,0,362.976406533575,0,0,0,0,0,0,0,0,504.107542942494,0,304.128209874911,0,0,0,0,0,0,209.037382851967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,323.548077999975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,490.169380752682,0,0,209.06707836799,0,401.859034839431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,239.63053328686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,224.490604407939,0,0,180.33614657722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gene8",25482.5112770835,26649.0945811796,26009.4129303939,25427.3614183084,25521.3914763828,24905.0625538755,34673.5253439449,25116.1985045758,30560.3768906521,19628.5105286581,26330.8352004945,22032.9325131862,22026.6184407584,30848.8039161356,24463.9342564138,19648.9143857565,26373.4076433121,23544.5205479452,27580.3543014745,23192.2819753558,22971.2609188504,24576.4782537873,27085.3665537631,0,22562.0940271131,28317.2295034918,35450.3653830364,23620.9038545314,27856.6094100075,26656.0042649607,26432.7083278238,23523.3663535927,20793.5235981836,27682.2644142124,28765.3402751952,25106.5649528907,26780.4097798766,27157.4399888513,21498.1602758429,21414.6315733952,23532.6198104847,23224.3387614646,22284.919856068,22281.1907020873,23403.4037849479,27229.2040694195,28692.0722052148,26473.9597856058,26380.4841149773,27804.8082427018,24012.382494107,22444.5428559926,28497.1191776901,0,27922.8642171658,22428.1852478983,26324.0919667153,25498.158466333,23202.5723472669,25313.4734692809,22117.3875750521,22928.6562528547,26496.4277852268,0,20974.6814496111,26544.4015444015,24853.2256132003,30952.2898572904,25030.3555941023,27333.4150999597,22372.7946816671,30156.0293957934,27408.3031035873,22681.1103588355,26009.4426891241,23798.4059254488,29978.2401496214,0,26019.9293088643,25702.6081826992,0,23606.5792102284,23240.5941799586,25147.5904992907,19807.6548332741,22391.4017017465,20025.0901677905,24546.6035236253,24008.4644229722,24456.2874044946,28844.134771404,23599.2155942544,24761.3837582598,24164.0432230069,26095.9419934497,32514.3953934741,28976.0863570106,26650.5676160127,32037.422037422,28749.1185684395,31768.9044508787,26841.3294660263,24986.3245751795,25682.400640026,27677.1317461823,33128.819085784,25025.8700506508,27817.6124557347,0,30845.4351007543,25632.9008371969,27833.106195618,27860.8559424624,29791.7839054586,28969.9829092747,26267.7165354331,30318.2411404477,0,32630.4666677181,30974.5804298754,25891.7316798964,24066.5418771903,0,0,33520.0759449666,25342.8465530022,22766.1632319024,31883.2649338805,21906.4224753864,26939.1546679053,29829.2188381864,25770.994105419,23644.9920905836,24279.6080369864,25401.4776821152,27929.0844117545,25064.288815416,34300.3134682636,26728.1437988545,30044.3837487197,25687.2654071169,24158.975134917,22702.859031565,25618.6362714983,28331.6880552813,29097.777291142,27037.8865245852,22349.3238998909,17736.731854253,25306.5640779033,24047.9723046489,22905.9555484426,25388.512551944,29702.9702970297,36843.9520777984,24282.5030059073,25074.0539863991,28464.8850217526,34596.5509899936,0,0,24906.3499314756,23297.5138297196,24521.6768183447,22807.2837632777,28120.9210045424,30365.9439259085,24343.2035137194,26820.9236180766,27493.3991993868,23014.3975682901,28428.2187476622,28611.0870130997,24063.756015939,23884.08258585,30125.2546593224,31527.174358554,0,0,27559.1454599693,23533.8671283272,18873.5324713925,25979.1989378181,30261.7495378029,27158.003006567,23785.1531513089,20517.175871086,29453.6141149687,22341.6005623055,27934.5907545986,34221.9124778581,25428.089967004,30654.1530677577,26577.1913861086,23273.6031769282,25081.9988423693,0,27625.8259318079,25752.8484994743,26901.706057286
"Gene9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190.013723213343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110.320480997297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,441.458733205374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201.988812927284,0,0,0,0,0,0,0,0,72.2138975645863,243.107891282151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gene10",709.901649042372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,344.451461048281,0,386.148308532499,0,0,0,0,533.120085299214,0,756.516029575495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,542.18173931902,0,0,568.004316832808,0,0,0,0,505.005495648041,0,0,0,0,0,0,760.471492325242,0,0,0,787.361142015987,0,0,0,0,0,0,0,0,418.645841719668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,433.360910845842,323.640709022107,0,0,0,427.939708050021,0,0,0,211.566462982092,0,0,0,0,0,0,0,0,0,0,334.63842318375,426.703078662713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,625.163560233782,488.489955425292,0,0,0,0,0,0,218.557186328407,0,0,355.38005923001,0,0,0,0,0,0,0,0,0,167.092753187294,0,0,0,0,0,0,0,0,0,0,553.438103691328,487.443808560958,0,0,0,0,433.904391411685,0,0,0,0,180.34265103697,567.829175855375,0,0,0,0,0,0,0,0,648.146078716224,0,0,0,0,332.986892425053,0,0,0,0,0,0,0,0
